model,accuracy,acc_ci,macro_f1,top2,ece,vs_stylo_dacc,vs_stylo_mcnemar_p,vs_stylo_dacc_authorclustered_ci,vs_stylo_dacc_authorclustered_sig
stylo,0.8804780876494024,"[0.841,0.916]",0.839785469888069,0.9043824701195219,0.20782009211024183,0.0,,,
delta:150,0.47410358565737054,"[0.418,0.530]",0.42210171028884474,0.5976095617529881,,-0.40637450199203184,1.3982559545042434e-28,"[-0.508,-0.306]",True
delta:300,0.28286852589641437,"[0.227,0.343]",0.29388126033306966,0.4302788844621514,,-0.597609561752988,1.0453686543863135e-42,"[-0.708,-0.477]",True
delta:500,0.19123505976095617,"[0.143,0.243]",0.21047744526005396,0.26693227091633465,,-0.6892430278884463,1.64479434542158e-49,"[-0.800,-0.565]",True
delta_cos:150,0.7131474103585658,"[0.661,0.765]",0.6803097142465894,0.8007968127490039,,-0.16733067729083662,7.455210310203242e-09,"[-0.236,-0.097]",True
delta_cos:300,0.7768924302788844,"[0.729,0.829]",0.718621586058657,0.852589641434263,,-0.10358565737051795,6.87711149112147e-05,"[-0.168,-0.040]",True
delta_cos:500,0.7888446215139442,"[0.741,0.837]",0.7221563865412589,0.8605577689243028,,-0.0916334661354582,0.0006061066312668117,"[-0.167,-0.017]",True
char_cos,0.6653386454183267,"[0.610,0.725]",0.5850140282070107,0.7290836653386454,,-0.21513944223107573,1.582067810090848e-15,"[-0.286,-0.151]",True
bow_lr,0.8007968127490039,"[0.753,0.849]",0.7390057492318587,0.8645418326693227,,-0.07968127490039845,0.00017999112606048584,"[-0.151,-0.020]",True
majority,0.0398406374501992,"[0.016,0.068]",0.0017820547090795686,0.0398406374501992,,-0.8406374501992032,6.077163357286271e-64,"[-0.923,-0.739]",True
