config,n_books,accuracy,acc_ci,macro_f1,f1_ci,top2,delta_acc_vs_full,mcnemar_p
full(all-enabled),128,0.71875,"[0.633,0.797]",0.6512133454780513,"[0.539,0.688]",0.78125,0.0,
-morphology,128,0.703125,"[0.617,0.781]",0.625381062006449,"[0.517,0.660]",0.7734375,-0.015625,0.625
-syntax.punctuation,128,0.703125,"[0.617,0.781]",0.625381062006449,"[0.517,0.660]",0.7890625,-0.015625,0.625
-pos_ngrams,128,0.7109375,"[0.633,0.789]",0.6378691678691677,"[0.523,0.678]",0.765625,-0.0078125,1.0
-dependency,128,0.7109375,"[0.625,0.789]",0.6344864011117882,"[0.528,0.668]",0.7890625,-0.0078125,1.0
-syntax.pos_ratios,128,0.7109375,"[0.625,0.789]",0.6239875864875865,"[0.509,0.663]",0.7890625,-0.0078125,1.0
-syntax.lexical_richness,128,0.7109375,"[0.625,0.789]",0.6337793304047175,"[0.529,0.667]",0.78125,-0.0078125,1.0
-syntax.speech,128,0.7109375,"[0.625,0.789]",0.6337793304047175,"[0.529,0.667]",0.7734375,-0.0078125,1.0
-function_words,128,0.71875,"[0.640,0.789]",0.6459092466987203,"[0.536,0.678]",0.78125,0.0,1.0
-syntax,128,0.71875,"[0.633,0.797]",0.6418419706655,"[0.535,0.675]",0.78125,0.0,1.0
-punctuation_ngrams,128,0.71875,"[0.633,0.797]",0.6407572853702884,"[0.535,0.673]",0.7578125,0.0,1.0
-char_ngrams,128,0.7265625,"[0.648,0.797]",0.6381313131313131,"[0.532,0.672]",0.7734375,0.0078125,1.0
-length_dist,128,0.7265625,"[0.648,0.805]",0.6481289298936357,"[0.542,0.678]",0.78125,0.0078125,1.0
-syntax.sentence,128,0.7265625,"[0.641,0.805]",0.6505846985258751,"[0.541,0.683]",0.7734375,0.0078125,1.0
-syntax.word_len,128,0.7265625,"[0.641,0.805]",0.6501636326636326,"[0.540,0.683]",0.7734375,0.0078125,1.0
-syntax.vre,128,0.7265625,"[0.648,0.805]",0.6507068095303389,"[0.545,0.681]",0.7734375,0.0078125,1.0
base:majority,128,0.0234375,"[0.000,0.055]",0.0028709454796411317,"[0.000,0.006]",0.046875,-0.6953125,
base:delta-500,128,0.3671875,"[0.281,0.446]",0.29294754628087966,"[0.197,0.331]",0.4609375,-0.3515625,
base:delta-300,128,0.4765625,"[0.390,0.562]",0.3898091168091168,"[0.288,0.429]",0.515625,-0.2421875,
base:char_cos,128,0.5546875,"[0.469,0.641]",0.463524740155175,"[0.368,0.506]",0.5859375,-0.1640625,
base:delta-150,128,0.6015625,"[0.516,0.688]",0.50017325448698,"[0.392,0.542]",0.6953125,-0.1171875,
base:bow_lr,128,0.65625,"[0.578,0.734]",0.5724341422998712,"[0.471,0.608]",0.703125,-0.0625,
